Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, 0.000000, -1.570000, 0.000134, 0.000000, 0.106000, 0.000000, 0.022393, 0.000020
2, 0.000000, 0.000000, -1.490000, 0.013559, 0.000000, 0.106548, -0.000000, 0.024375, 0.002002
3, 0.000000, 0.000000, -1.410000, 0.026898, 0.000000, 0.108167, 0.000000, 0.026344, 0.003971
4, 0.000000, 0.000000, -1.330000, 0.040064, 0.000000, 0.110847, 0.000000, 0.028288, 0.005915
5, 0.000000, 0.000000, -1.250000, 0.052974, 0.000000, 0.114571, 0.000000, 0.030194, 0.007821
6, 0.000000, 0.000000, -1.170000, 0.065546, 0.000000, 0.119314, -0.000000, 0.032050, 0.009676
7, 0.000000, 0.000000, -1.090000, 0.077698, 0.000000, 0.125047, 0.000000, 0.033844, 0.011470
8, 0.000000, 0.000000, -1.010000, 0.089353, 0.000000, 0.131732, 0.000000, 0.035565, 0.013191
9, 0.000000, 0.000000, -0.930000, 0.100436, 0.000000, 0.139328, -0.000000, 0.037201, 0.014827
10, 0.000000, 0.000000, -0.850000, 0.110877, 0.000000, 0.147785, -0.000000, 0.038742, 0.016369
11, 0.000000, 0.000000, -0.770000, 0.120609, 0.000000, 0.157049, 0.000000, 0.040179, 0.017806
12, 0.000000, 0.000000, -0.690000, 0.129569, 0.000000, 0.167062, -0.000000, 0.041502, 0.019128
13, 0.000000, 0.000000, -0.610000, 0.137701, 0.000000, 0.177758, -0.000000, 0.042702, 0.020329
14, 0.000000, 0.000000, -0.530000, 0.144952, 0.000000, 0.189070, -0.000000, 0.043773, 0.021399
15, 0.000000, 0.000000, -0.450000, 0.151275, 0.000000, 0.200926, 0.000000, 0.044706, 0.022333
16, 0.000000, 0.000000, -0.370000, 0.156631, 0.000000, 0.213249, 0.000000, 0.045497, 0.023123
17, 0.000000, 0.000000, -0.290000, 0.160985, 0.000000, 0.225960, 0.000000, 0.046140, 0.023766
18, 0.000000, 0.000000, -0.210000, 0.164309, 0.000000, 0.238979, 0.000000, 0.046630, 0.024257
19, 0.000000, 0.000000, -0.130000, 0.166582, 0.000000, 0.252221, -0.000000, 0.046966, 0.024593
20, 0.000000, 0.000000, -0.050000, 0.167790, 0.000000, 0.265604, 0.000000, 0.047144, 0.024771
21, 0.000000, 0.000000, 0.030000, 0.167924, 0.000000, 0.279039, -0.000000, 0.047164, 0.024791
22, 0.000000, 0.000000, 0.110000, 0.166985, 0.000000, 0.292443, 0.000000, 0.047025, 0.024652
23, 0.000000, 0.000000, 0.190000, 0.164977, 0.000000, 0.305728, -0.000000, 0.046729, 0.024356
24, 0.000000, 0.000000, 0.270000, 0.161913, 0.000000, 0.318811, 0.000000, 0.046277, 0.023903
25, 0.000000, 0.000000, 0.350000, 0.157815, 0.000000, 0.331607, 0.000000, 0.045672, 0.023298
26, 0.000000, 0.000000, 0.430000, 0.152706, 0.000000, 0.344034, -0.000000, 0.044917, 0.022544
27, 0.000000, 0.000000, 0.510000, 0.146621, 0.000000, 0.356014, -0.000000, 0.044019, 0.021646
28, 0.000000, 0.000000, 0.590000, 0.139598, 0.000000, 0.367469, -0.000000, 0.042982, 0.020609
29, 0.000000, 0.000000, 0.670000, 0.131682, 0.000000, 0.378326, 0.000000, 0.041814, 0.019440
30, 0.000000, 0.000000, 0.750000, 0.122924, 0.000000, 0.388515, 0.000000, 0.040521, 0.018147
31, 0.000000, 0.000000, 0.830000, 0.113379, 0.000000, 0.397972, -0.000000, 0.039112, 0.016738
32, 0.000000, 0.000000, 0.910000, 0.103109, 0.000000, 0.406637, 0.000000, 0.037595, 0.015222
33, 0.000000, 0.000000, 0.990000, 0.092180, 0.000000, 0.414452, 0.000000, 0.035982, 0.013609
34, 0.000000, 0.000000, 1.070000, 0.080661, 0.000000, 0.421370, 0.000000, 0.034281, 0.011908
35, 0.000000, 0.000000, 1.150000, 0.068626, 0.000000, 0.427344, 0.000000, 0.032505, 0.010131
36, 0.000000, 0.000000, 1.230000, 0.056152, 0.000000, 0.432338, 0.000000, 0.030663, 0.008290
37, 0.000000, 0.000000, 1.310000, 0.043319, 0.000000, 0.436319, -0.000000, 0.028769, 0.006395
38, 0.000000, 0.000000, 1.390000, 0.030209, 0.000000, 0.439262, -0.000000, 0.026833, 0.004460
39, 0.000000, 0.000000, 1.470000, 0.016905, 0.000000, 0.441147, -0.000000, 0.024869, 0.002496
40, 0.000000, 0.000000, 1.550000, 0.003493, 0.000000, 0.441964, 0.000000, 0.022889, 0.000516
