Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -0.300000, -1.570000, -0.005192, -0.000000, 0.106764, -0.000010, 0.042595, -0.007277
2, 0.000000, -0.300000, -1.490000, 0.007796, 0.000000, 0.103321, -0.000000, 0.045521, -0.005393
3, 0.000000, -0.300000, -1.410000, 0.021017, 0.000000, 0.100926, -0.000000, 0.047473, -0.003441
4, 0.000000, -0.300000, -1.330000, 0.034388, 0.000000, 0.099595, 0.000000, 0.049447, -0.001467
5, 0.000000, -0.300000, -1.250000, 0.047822, 0.000000, 0.099337, 0.000000, 0.051430, 0.000516
6, 0.000000, -0.300000, -1.170000, 0.061233, 0.000000, 0.100153, -0.000000, 0.053410, 0.002496
7, 0.000000, -0.300000, -1.090000, 0.074537, 0.000000, 0.102039, -0.000000, 0.055374, 0.004460
8, 0.000000, -0.300000, -1.010000, 0.087647, 0.000000, 0.104981, -0.000000, 0.057309, 0.006395
9, 0.000000, -0.300000, -0.930000, 0.100480, 0.000000, 0.108962, 0.000000, 0.059204, 0.008290
10, 0.000000, -0.300000, -0.850000, 0.112954, 0.000000, 0.113956, -0.000000, 0.061046, 0.010131
11, 0.000000, -0.300000, -0.770000, 0.124989, 0.000000, 0.119931, 0.000000, 0.062822, 0.011908
12, 0.000000, -0.300000, -0.690000, 0.136508, 0.000000, 0.126848, -0.000000, 0.064523, 0.013609
13, 0.000000, -0.300000, -0.610000, 0.147437, 0.000000, 0.134664, 0.000000, 0.066136, 0.015222
14, 0.000000, -0.300000, -0.530000, 0.157707, 0.000000, 0.143328, -0.000000, 0.067652, 0.016738
15, 0.000000, -0.300000, -0.450000, 0.167252, 0.000000, 0.152785, -0.000000, 0.069062, 0.018147
16, 0.000000, -0.300000, -0.370000, 0.176010, 0.000000, 0.162975, 0.000000, 0.070355, 0.019440
17, 0.000000, -0.300000, -0.290000, 0.183926, 0.000000, 0.173832, 0.000000, 0.071523, 0.020609
18, 0.000000, -0.300000, -0.210000, 0.190949, 0.000000, 0.185287, 0.000000, 0.072560, 0.021646
19, 0.000000, -0.300000, -0.130000, 0.197034, 0.000000, 0.197266, 0.000000, 0.073458, 0.022544
20, 0.000000, -0.300000, -0.050000, 0.202143, 0.000000, 0.209694, 0.000000, 0.074213, 0.023298
21, 0.000000, -0.300000, 0.030000, 0.206242, 0.000000, 0.222490, 0.000000, 0.074818, 0.023903
22, 0.000000, -0.300000, 0.110000, 0.209305, 0.000000, 0.235572, 0.000000, 0.075270, 0.024356
23, 0.000000, -0.300000, 0.190000, 0.211313, 0.000000, 0.248858, -0.000000, 0.075566, 0.024652
24, 0.000000, -0.300000, 0.270000, 0.212252, 0.000000, 0.262261, -0.000000, 0.075705, 0.024791
25, 0.000000, -0.300000, 0.350000, 0.212118, 0.000000, 0.275697, 0.000000, 0.075685, 0.024771
26, 0.000000, -0.300000, 0.430000, 0.210910, 0.000000, 0.289079, 0.000000, 0.075507, 0.024593
27, 0.000000, -0.300000, 0.510000, 0.208637, 0.000000, 0.302322, -0.000000, 0.075171, 0.024257
28, 0.000000, -0.300000, 0.590000, 0.205313, 0.000000, 0.315340, -0.000000, 0.074681, 0.023766
29, 0.000000, -0.300000, 0.670000, 0.200959, 0.000000, 0.328052, 0.000000, 0.074038, 0.023123
30, 0.000000, -0.300000, 0.750000, 0.195603, 0.000000, 0.340375, 0.000000, 0.073247, 0.022333
31, 0.000000, -0.300000, 0.830000, 0.189280, 0.000000, 0.352230, 0.000000, 0.072314, 0.021399
32, 0.000000, -0.300000, 0.910000, 0.182029, 0.000000, 0.363542, 0.000000, 0.071243, 0.020329
33, 0.000000, -0.300000, 0.990000, 0.173897, 0.000000, 0.374239, 0.000000, 0.070043, 0.019128
34, 0.000000, -0.300000, 1.070000, 0.164937, 0.000000, 0.384251, 0.000000, 0.068720, 0.017806
35, 0.000000, -0.300000, 1.150000, 0.155205, 0.000000, 0.393516, 0.000000, 0.067283, 0.016369
36, 0.000000, -0.300000, 1.230000, 0.144764, 0.000000, 0.401973, 0.000000, 0.065742, 0.014827
37, 0.000000, -0.300000, 1.310000, 0.133681, 0.000000, 0.409568, 0.000000, 0.064105, 0.013191
38, 0.000000, -0.300000, 1.390000, 0.122026, 0.000000, 0.416254, -0.000000, 0.062385, 0.011470
39, 0.000000, -0.300000, 1.470000, 0.109873, 0.000000, 0.421987, 0.000000, 0.060591, 0.009676
40, 0.000000, -0.300000, 1.550000, 0.097302, 0.000000, 0.426730, 0.000000, 0.058735, 0.007821
