Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, 0.300000, -1.570000, 0.005447, 0.000000, 0.106844, 0.000017, 0.000887, 0.007289
2, 0.000000, 0.300000, -1.490000, 0.018111, 0.000000, 0.111334, -0.000000, 0.001052, 0.009218
3, 0.000000, 0.300000, -1.410000, 0.030375, 0.000000, 0.116823, 0.000000, 0.002863, 0.011028
4, 0.000000, 0.300000, -1.330000, 0.042162, 0.000000, 0.123274, -0.000000, 0.004602, 0.012768
5, 0.000000, 0.300000, -1.250000, 0.053395, 0.000000, 0.130647, 0.000000, 0.006261, 0.014427
6, 0.000000, 0.300000, -1.170000, 0.064003, 0.000000, 0.138893, 0.000000, 0.007827, 0.015993
7, 0.000000, 0.300000, -1.090000, 0.073918, 0.000000, 0.147961, -0.000000, 0.009291, 0.017457
8, 0.000000, 0.300000, -1.010000, 0.083077, 0.000000, 0.157792, 0.000000, 0.010643, 0.018809
9, 0.000000, 0.300000, -0.930000, 0.091421, 0.000000, 0.168324, 0.000000, 0.011874, 0.020041
10, 0.000000, 0.300000, -0.850000, 0.098896, 0.000000, 0.179489, -0.000000, 0.012978, 0.021144
11, 0.000000, 0.300000, -0.770000, 0.105455, 0.000000, 0.191216, -0.000000, 0.013946, 0.022113
12, 0.000000, 0.300000, -0.690000, 0.111057, 0.000000, 0.203429, -0.000000, 0.014773, 0.022939
13, 0.000000, 0.300000, -0.610000, 0.115664, 0.000000, 0.216051, 0.000000, 0.015454, 0.023620
14, 0.000000, 0.300000, -0.530000, 0.119248, 0.000000, 0.229000, -0.000000, 0.015983, 0.024149
15, 0.000000, 0.300000, -0.450000, 0.121786, 0.000000, 0.242195, 0.000000, 0.016357, 0.024523
16, 0.000000, 0.300000, -0.370000, 0.123261, 0.000000, 0.255550, 0.000000, 0.016575, 0.024741
17, 0.000000, 0.300000, -0.290000, 0.123664, 0.000000, 0.268980, -0.000000, 0.016635, 0.024801
18, 0.000000, 0.300000, -0.210000, 0.122992, 0.000000, 0.282400, 0.000000, 0.016535, 0.024701
19, 0.000000, 0.300000, -0.130000, 0.121250, 0.000000, 0.295723, -0.000000, 0.016278, 0.024444
20, 0.000000, 0.300000, -0.050000, 0.118449, 0.000000, 0.308864, 0.000000, 0.015865, 0.024031
21, 0.000000, 0.300000, 0.030000, 0.114607, 0.000000, 0.321740, 0.000000, 0.015298, 0.023464
22, 0.000000, 0.300000, 0.110000, 0.109748, 0.000000, 0.334267, -0.000000, 0.014580, 0.022746
23, 0.000000, 0.300000, 0.190000, 0.103904, 0.000000, 0.346366, 0.000000, 0.013717, 0.021883
24, 0.000000, 0.300000, 0.270000, 0.097111, 0.000000, 0.357959, -0.000000, 0.012715, 0.020881
25, 0.000000, 0.300000, 0.350000, 0.089414, 0.000000, 0.368972, -0.000000, 0.011578, 0.019744
26, 0.000000, 0.300000, 0.430000, 0.080861, 0.000000, 0.379335, 0.000000, 0.010316, 0.018482
27, 0.000000, 0.300000, 0.510000, 0.071508, 0.000000, 0.388981, 0.000000, 0.008935, 0.017101
28, 0.000000, 0.300000, 0.590000, 0.061413, 0.000000, 0.397849, 0.000000, 0.007445, 0.015611
29, 0.000000, 0.300000, 0.670000, 0.050642, 0.000000, 0.405881, -0.000000, 0.005854, 0.014020
30, 0.000000, 0.300000, 0.750000, 0.039264, 0.000000, 0.413028, -0.000000, 0.004175, 0.012341
31, 0.000000, 0.300000, 0.830000, 0.027351, 0.000000, 0.419242, 0.000000, 0.002416, 0.010582
32, 0.000000, 0.300000, 0.910000, 0.014979, 0.000000, 0.424484, 0.000000, 0.000589, 0.008756
33, 0.000000, 0.300000, 0.990000, 0.002228, 0.000000, 0.428721, -0.000000, -0.001293, 0.006873
34, 0.000000, 0.300000, 1.070000, -0.010820, -0.000000, 0.431925, -0.000000, -0.003219, 0.004947
35, 0.000000, 0.300000, 1.150000, -0.024084, -0.000000, 0.434076, 0.000000, -0.005177, 0.002989
36, 0.000000, 0.300000, 1.230000, -0.037476, -0.000000, 0.435161, -0.000000, -0.007155, 0.001012
37, 0.000000, 0.300000, 1.310000, -0.050913, -0.000000, 0.435171, 0.000000, -0.009138, -0.000972
38, 0.000000, 0.300000, 1.390000, -0.064307, -0.000000, 0.434108, 0.000000, -0.011116, -0.002949
39, 0.000000, 0.300000, 1.470000, -0.077573, -0.000000, 0.431978, 0.000000, -0.013074, -0.004908
40, 0.000000, 0.300000, 1.550000, -0.090627, -0.000000, 0.428795, 0.000000, -0.015001, -0.006835
