Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.570000, 0.000000, 0.150134, 0.000000, -0.043881, 0.000000, 0.099998, 0.000020
2, 0.000000, -1.490000, 0.000000, 0.163070, 0.000000, -0.031346, 0.000000, 0.103441, 0.002002
3, 0.000000, -1.410000, 0.000000, 0.174963, 0.000000, -0.017817, 0.000000, 0.106224, 0.003971
4, 0.000000, -1.330000, 0.000000, 0.185736, 0.000000, -0.003382, -0.000000, 0.108326, 0.005915
5, 0.000000, -1.250000, 0.000000, 0.195322, 0.000000, 0.011869, -0.000000, 0.109736, 0.007821
6, 0.000000, -1.170000, 0.000000, 0.203658, 0.000000, 0.027837, -0.000000, 0.110444, 0.009676
7, 0.000000, -1.090000, 0.000000, 0.210692, 0.000000, 0.044420, -0.000000, 0.110445, 0.011470
8, 0.000000, -1.010000, 0.000000, 0.216377, 0.000000, 0.061511, 0.000000, 0.109740, 0.013191
9, 0.000000, -0.930000, 0.000000, 0.220679, 0.000000, 0.079003, 0.000000, 0.108333, 0.014827
10, 0.000000, -0.850000, 0.000000, 0.223569, 0.000000, 0.096782, 0.000000, 0.106233, 0.016369
11, 0.000000, -0.770000, 0.000000, 0.225029, 0.000000, 0.114736, -0.000000, 0.103453, 0.017806
12, 0.000000, -0.690000, 0.000000, 0.225050, 0.000000, 0.132749, -0.000000, 0.100012, 0.019128
13, 0.000000, -0.610000, 0.000000, 0.223631, 0.000000, 0.150706, 0.000000, 0.095931, 0.020329
14, 0.000000, -0.530000, 0.000000, 0.220782, 0.000000, 0.168491, 0.000000, 0.091236, 0.021399
15, 0.000000, -0.450000, 0.000000, 0.216520, 0.000000, 0.185993, 0.000000, 0.085958, 0.022333
16, 0.000000, -0.370000, 0.000000, 0.210873, 0.000000, 0.203098, 0.000000, 0.080130, 0.023123
17, 0.000000, -0.290000, 0.000000, 0.203878, 0.000000, 0.219697, 0.000000, 0.073789, 0.023766
18, 0.000000, -0.210000, 0.000000, 0.195578, 0.000000, 0.235683, 0.000000, 0.066976, 0.024257
19, 0.000000, -0.130000, 0.000000, 0.186027, 0.000000, 0.250956, 0.000000, 0.059735, 0.024593
20, 0.000000, -0.050000, 0.000000, 0.175287, 0.000000, 0.265416, -0.000000, 0.052112, 0.024771
21, 0.000000, 0.030000, 0.000000, 0.163425, 0.000000, 0.278972, -0.000000, 0.044156, 0.024791
22, 0.000000, 0.110000, 0.000000, 0.150518, 0.000000, 0.291536, -0.000000, 0.035917, 0.024652
23, 0.000000, 0.190000, 0.000000, 0.136648, 0.000000, 0.303029, 0.000000, 0.027448, 0.024356
24, 0.000000, 0.270000, 0.000000, 0.121904, 0.000000, 0.313377, -0.000000, 0.018804, 0.023903
25, 0.000000, 0.350000, 0.000000, 0.106380, 0.000000, 0.322513, -0.000000, 0.010039, 0.023298
26, 0.000000, 0.430000, 0.000000, 0.090176, 0.000000, 0.330379, -0.000000, 0.001210, 0.022544
27, 0.000000, 0.510000, 0.000000, 0.073394, 0.000000, 0.336925, 0.000000, -0.007626, 0.021646
28, 0.000000, 0.590000, 0.000000, 0.056144, 0.000000, 0.342110, -0.000000, -0.016414, 0.020609
29, 0.000000, 0.670000, 0.000000, 0.038534, 0.000000, 0.345899, -0.000000, -0.025097, 0.019440
30, 0.000000, 0.750000, 0.000000, 0.020678, 0.000000, 0.348269, 0.000000, -0.033619, 0.018147
31, 0.000000, 0.830000, 0.000000, 0.002689, 0.000000, 0.349204, -0.000000, -0.041926, 0.016738
32, 0.000000, 0.910000, 0.000000, -0.015316, -0.000000, 0.348698, 0.000000, -0.049965, 0.015222
33, 0.000000, 0.990000, 0.000000, -0.033224, -0.000000, 0.346756, 0.000000, -0.057685, 0.013609
34, 0.000000, 1.070000, 0.000000, -0.050919, -0.000000, 0.343388, -0.000000, -0.065035, 0.011908
35, 0.000000, 1.150000, 0.000000, -0.068289, -0.000000, 0.338617, -0.000000, -0.071969, 0.010131
36, 0.000000, 1.230000, 0.000000, -0.085221, -0.000000, 0.332474, -0.000000, -0.078443, 0.008290
37, 0.000000, 1.310000, 0.000000, -0.101609, -0.000000, 0.324997, -0.000000, -0.084416, 0.006395
38, 0.000000, 1.390000, 0.000000, -0.117347, -0.000000, 0.316234, -0.000000, -0.089848, 0.004460
39, 0.000000, 1.470000, 0.000000, -0.132334, -0.000000, 0.306241, 0.000000, -0.094706, 0.002496
40, 0.000000, 1.550000, 0.000000, -0.146474, -0.000000, 0.295083, 0.000000, -0.098957, 0.000516
