Numerpomiaru, q1, q2, q3, u1, u2, u3
1, 0.000000, 0.000000, 0.000000, 0.000000,0.024802,-0.002765
2, 0.000000, 0.000000, 0.000000, 0.000001,0.024802,-0.005525
3, 0.000000, -0.000387, 0.000000, 0.000001,0.024799,-0.006946
4, 0.000000, -0.000995, 0.000388, 0.000001,0.024797,-0.007611
5, 0.000000, -0.001765, 0.000608, 0.000001,0.024792,-0.007715
6, 0.000000, -0.002610, 0.001162, 0.000001,0.024790,-0.007558
7, 0.000000, -0.003531, 0.001457, 0.000001,0.024784,-0.007144
8, 0.000000, -0.004469, 0.002089, 0.000001,0.024782,-0.006671
9, 0.000000, -0.005450, 0.002400, 0.000001,0.024776,-0.006056
10, 0.000000, -0.006422, 0.003080, 0.000001,0.024774,-0.005466
11, 0.000000, -0.007425, 0.003379, 0.000000,0.024768,-0.004776
12, 0.000000, -0.008407, 0.004098, 0.000000,0.024765,-0.004151
13, 0.000000, -0.009419, 0.004370, 0.000000,0.024759,-0.003434
14, 0.000000, -0.010402, 0.005128, 0.000000,0.024757,-0.002806
15, 0.000000, -0.011417, 0.005363, 0.000000,0.024750,-0.002080
16, 0.000000, -0.012397, 0.006167, 0.000000,0.024749,-0.001464
17, 0.000000, -0.013415, 0.006355, 0.000000,0.024742,-0.000736
18, 0.000000, -0.014390, 0.007211, -0.000000,0.024741,-0.000136
19, 0.000000, -0.015408, 0.007343, -0.000000,0.024733,0.000592
20, 0.000000, -0.016377, 0.008263, -0.000000,0.024732,0.001171
21, 0.000000, -0.017397, 0.008324, -0.000000,0.024724,0.001901
22, 0.000000, -0.018358, 0.009323, -0.000000,0.024724,0.002456
23, 0.000000, -0.019382, 0.009296, -0.000000,0.024715,0.003190
24, 0.000000, -0.020334, 0.010393, -0.000000,0.024716,0.003718
25, 0.000000, -0.021363, 0.010257, -0.000000,0.024706,0.004459
26, 0.000000, -0.022304, 0.011476, -0.000001,0.024708,0.004957
27, 0.000000, -0.023339, 0.011205, -0.000001,0.024697,0.005708
28, 0.000000, -0.024267, 0.012574, -0.000001,0.024701,0.006171
29, 0.000000, -0.025311, 0.012135, -0.000001,0.024688,0.006938
30, 0.000000, -0.026224, 0.013693, -0.000001,0.024693,0.007361
31, 0.000000, -0.027279, 0.013042, -0.000001,0.024678,0.008151
32, 0.000000, -0.028174, 0.014838, -0.000001,0.024686,0.008525
33, 0.000000, -0.029244, 0.013920, -0.000001,0.024668,0.009345
34, 0.000000, -0.030117, 0.016015, -0.000001,0.024679,0.009663
35, 0.000000, -0.031207, 0.014761, -0.000001,0.024658,0.010524
36, 0.000000, -0.032051, 0.017236, -0.000001,0.024672,0.010773
37, 0.000000, -0.033167, 0.015552, -0.000001,0.024648,0.011687
38, 0.000000, -0.033976, 0.018513, -0.000001,0.024666,0.011853
